RecordID,SightDate,Year,Month,Time,Location,Location2,FishArea,Quadrant,ActualLatitude,ActualLongitude,Species,Count,Count_clean,Direction,Pod,LikelyPod,Comments,Channel,Source,ReportingParty,Harrassment,OCstranding,SJCstranding,FieldIvest,Hydrophone,StrandReport,Alive/Dead,Stranded
80716,8/12/1991,1991,8,18:20,6395,,7,163,0,0,Harbor porpoise,5,5,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
12999,10/11/2007,2007,10,14:50,6395,,7,163,,,Harbor Porpoise,4+,4+,,,,,Other,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83300,4/29/2012,2012,4,13:45,6395,,7,163,0,0,Harbor Porpoise,5~,5~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83254,5/13/2012,2012,5,14:40,6395,,7,163,0,0,Harbor Porpoise,20~,20~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
86442,7/13/2013,2013,7,12:15,639,Boundary Pass,,164,48.7121,-123.2208,Harbor Porpoise,10,10,S,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
86445,8/15/2013,2013,8,14:30,639,Boundary Pass bt Pender and Stuart,,164,48.7121,-123.2208,Harbor Porpoise,3,3,SE,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
70025,8/29/1985,1985,8,7:30,2920,,7,164,0,0,Harbor porpoise,5,5,mill,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
34662,9/25/2009,2009,9,14:00,5229,South Pender Island,18C,164,,,Harbor Porpoise,,,,,,CAN research vessel picked up dead Pp calf,other,MysticSea,,FALSE,FALSE,FALSE,FALSE,FALSE,,Dead,
83278,5/6/2012,2012,5,15:30,7320,,7,165,0,0,Harbor Porpoise,10~,10~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
65766,9/1/1985,1985,9,12:00,1267,,7,166,0,0,Harbor porpoise,1,1,SE,,,,Hotline,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
75331,10/3/1981,1981,10,,4358,,7,166,0,0,harbor porpoise,4,4,N,,,1 calf,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
75332,10/16/1981,1981,10,15:30,4358,,7,166,0,0,harbor porpoise,2,2,N,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
